ID,e_city_id,s_city_id,NOMBORIGEN,EMP07_1,EMP07_2,EMP07_3,EMP07_4,EMP07_5,EMP07_6,EMP07_7,EMP07_8,EMP07_9,EMP07_10,TOTAL_PERSONAS,s_lon,s_lat,e_lon,e_lat,Region_origen,Region_destino,Flujo_Migratorio
731,10201,60701,60701. Dpto. Cajamarca   Prov. Hualgayoc   Dist. Bambamarca,-,-,-,-,1,-,-,-,-,-,1,-78.47951208,-6.69309603,-78.52098269,-5.58091287,SIERRA,SELVA,SIERRA-SELVA
741,10201,60303,60303. Dpto. Cajamarca   Prov. Celendin   Dist. Cortegana,-,-,-,-,-,-,-,-,2,-,2,-78.28552399,-6.48769433,-78.52098269,-5.58091287,SIERRA,SELVA,SIERRA-SELVA
744,10201,140203,140203. Dpto. Lambayeque   Prov. Ferre̱afe   Dist. Incahuasi,-,-,-,-,-,11,-,-,7,-,18,-79.3871472,-6.23124428,-78.52098269,-5.58091287,SIERRA,SELVA,SIERRA-SELVA
750,10201,200201,200201. Dpto. Piura   Prov. Ayabaca   Dist. Ayabaca,-,-,-,-,2,1,-,-,-,-,3,-79.60768293,-4.68275461,-78.52098269,-5.58091287,SIERRA,SELVA,SIERRA-SELVA
754,10201,60403,60403. Dpto. Cajamarca   Prov. Chota   Dist. Chadin,-,-,-,-,-,1,-,-,2,-,3,-78.41279427,-6.43986877,-78.52098269,-5.58091287,SIERRA,SELVA,SIERRA-SELVA
758,10201,60404,60404. Dpto. Cajamarca   Prov. Chota   Dist. Chiguirip,-,-,-,-,-,2,-,-,8,-,10,-78.70803711,-6.42508064,-78.52098269,-5.58091287,SIERRA,SELVA,SIERRA-SELVA
761,10201,40101,40101. Dpto. Arequipa   Prov. Arequipa   Dist. Arequipa,-,1,-,1,-,-,-,1,-,-,3,-71.53845959,-16.40665825,-78.52098269,-5.58091287,SIERRA,SELVA,SIERRA-SELVA
763,10201,200206,200206. Dpto. Piura   Prov. Ayabaca   Dist. Pacaipampa,-,-,-,-,-,-,-,-,3,-,3,-79.64887243,-4.94646608,-78.52098269,-5.58091287,SIERRA,SELVA,SIERRA-SELVA
764,10201,10509,10509. Dpto. Amazonas   Prov. Luya   Dist. Luya,-,-,-,-,-,-,-,-,1,-,1,-77.98118693,-6.17185354,-78.52098269,-5.58091287,SIERRA,SELVA,SIERRA-SELVA
766,10201,131001,131001. Dpto. La Libertad   Prov. Santiago de Chuco   Dist. Santiago de Chuco,-,1,-,-,-,-,-,-,-,-,1,-78.24461207,-8.34914124,-78.52098269,-5.58091287,SIERRA,SELVA,SIERRA-SELVA
