ID,e_city_id,s_city_id,NOMBORIGEN,EMP07_1,EMP07_2,EMP07_3,EMP07_4,EMP07_5,EMP07_6,EMP07_7,EMP07_8,EMP07_9,EMP07_10,TOTAL_PERSONAS,s_lon,s_lat,e_lon,e_lat,Region_origen,Region_destino,Flujo_Migratorio
73323,120604,120101,120101. Dpto. Junin   Prov. Huancayo   Dist. Huancayo,1,16,3,6,26,22,14,9,28,24,149,-75.07127978,-11.99332312,-74.30963749,-11.36486137,SIERRA,SELVA,SIERRA-SELVA
73324,120604,50101,50101. Dpto. Ayacucho   Prov. Huamanga   Dist. Ayacucho,-,1,-,-,4,3,-,3,8,11,30,-74.25197809,-13.13475583,-74.30963749,-11.36486137,SIERRA,SELVA,SIERRA-SELVA
73480,120604,120901,120901. Dpto. Junin   Prov. Chupaca   Dist. Chupaca,-,5,1,-,5,5,1,1,7,9,34,-75.28611462,-12.07082574,-74.30963749,-11.36486137,SIERRA,SELVA,SIERRA-SELVA
73488,120604,120701,120701. Dpto. Junin   Prov. Tarma   Dist. Tarma,-,5,1,-,9,8,4,5,11,2,45,-75.75876931,-11.45555677,-74.30963749,-11.36486137,SIERRA,SELVA,SIERRA-SELVA
73501,120604,120114,120114. Dpto. Junin   Prov. Huancayo   Dist. El Tambo,-,14,3,2,4,3,4,8,9,2,49,-75.16108881,-11.97195525,-74.30963749,-11.36486137,SIERRA,SELVA,SIERRA-SELVA
73528,120604,120401,120401. Dpto. Junin   Prov. Jauja   Dist. Jauja,-,2,2,-,11,3,8,1,6,2,35,-75.49113779,-11.77408558,-74.30963749,-11.36486137,SIERRA,SELVA,SIERRA-SELVA
73676,120606,120114,120114. Dpto. Junin   Prov. Huancayo   Dist. El Tambo,1,11,1,-,7,3,2,3,13,3,44,-75.16108881,-11.97195525,-74.32224654,-11.76935431,SIERRA,SELVA,SIERRA-SELVA
73781,120606,120203,120203. Dpto. Junin   Prov. Concepcion   Dist. Andamarca,-,-,-,-,2,14,-,3,18,-,37,-74.85718695,-11.69635357,-74.32224654,-11.76935431,SIERRA,SELVA,SIERRA-SELVA
73843,120606,120101,120101. Dpto. Junin   Prov. Huancayo   Dist. Huancayo,1,35,6,2,4,20,7,10,33,5,123,-75.07127978,-11.99332312,-74.32224654,-11.76935431,SIERRA,SELVA,SIERRA-SELVA
73844,120606,50401,50401. Dpto. Ayacucho   Prov. Huanta   Dist. Huanta,-,-,-,-,-,22,-,-,32,1,55,-74.2114593,-12.9120375,-74.32224654,-11.76935431,SIERRA,SELVA,SIERRA-SELVA
73935,120607,120114,120114. Dpto. Junin   Prov. Huancayo   Dist. El Tambo,-,6,1,-,1,1,1,-,18,4,32,-75.16108881,-11.97195525,-74.69096766,-11.10317201,SIERRA,SELVA,SIERRA-SELVA
73943,120607,120101,120101. Dpto. Junin   Prov. Huancayo   Dist. Huancayo,-,15,1,2,-,14,2,2,24,4,64,-75.07127978,-11.99332312,-74.69096766,-11.10317201,SIERRA,SELVA,SIERRA-SELVA
74138,120608,50401,50401. Dpto. Ayacucho   Prov. Huanta   Dist. Huanta,-,-,-,1,3,20,-,1,7,-,32,-74.2114593,-12.9120375,-73.81443511,-11.53100471,SIERRA,SELVA,SIERRA-SELVA
74214,120608,120101,120101. Dpto. Junin   Prov. Huancayo   Dist. Huancayo,1,17,4,1,1,13,1,1,43,2,84,-75.07127978,-11.99332312,-73.81443511,-11.53100471,SIERRA,SELVA,SIERRA-SELVA
74232,120608,50501,50501. Dpto. Ayacucho   Prov. La Mar   Dist. San Miguel,-,-,-,-,2,20,-,-,10,2,34,-73.94265019,-13.03606488,-73.81443511,-11.53100471,SIERRA,SELVA,SIERRA-SELVA
82935,130807,130801,130801. Dpto. La Libertad   Prov. Pataz   Dist. Tayabamba,-,18,1,-,-,12,-,-,7,1,39,-77.25635447,-8.31424349,-77.09246429,-8.20580727,SIERRA,SELVA,SIERRA-SELVA
